memory,directory,type
0xFEBE55DF,ipc_interaction_layer.ipc_vis_road_data_msg.road_info.roadMarkerInfo.neighborLeftMarker.laneMarkerConf.confTjaLongTerm,
0xFEBE55E0,ipc_interaction_layer.ipc_vis_road_data_msg.road_info.roadMarkerInfo.neighborLeftMarker.laneMarkerConf.tuneConfidence,
0xFEBE55E4,ipc_interaction_layer.ipc_vis_road_data_msg.road_info.roadMarkerInfo.neighborLeftMarker.laneMarkerType,
0xFEBE55E8,ipc_interaction_layer.ipc_vis_road_data_msg.road_info.roadMarkerInfo.neighborLeftMarker.laneMarkerColor,
0xFEBE55EC,ipc_interaction_layer.ipc_vis_road_data_msg.road_info.roadMarkerInfo.hostRightIndividualMarker.laneMarker.a0,float32
0xFEBE55F0,ipc_interaction_layer.ipc_vis_road_data_msg.road_info.roadMarkerInfo.hostRightIndividualMarker.laneMarker.a1,float32
0xFEBE55F4,ipc_interaction_layer.ipc_vis_road_data_msg.road_info.roadMarkerInfo.hostRightIndividualMarker.laneMarker.a2,float32
0xFEBE55F8,ipc_interaction_layer.ipc_vis_road_data_msg.road_info.roadMarkerInfo.hostRightIndividualMarker.laneMarker.a3,float32
0xFEBE55FC,ipc_interaction_layer.ipc_vis_road_data_msg.road_info.roadMarkerInfo.hostRightIndividualMarker.laneMarker.range,float32
0xFEBE5600,ipc_interaction_layer.ipc_vis_road_data_msg.road_info.roadMarkerInfo.hostRightIndividualMarker.laneMarker.status,1
0xFEBE5601,ipc_interaction_layer.ipc_vis_road_data_msg.road_info.roadMarkerInfo.hostRightIndividualMarker.laneMarker.asilCounterCheck,1
0xFEBE5602,ipc_interaction_layer.ipc_vis_road_data_msg.road_info.roadMarkerInfo.hostRightIndividualMarker.laneMarker.asilCrcCheck,1
0xFEBE5604,ipc_interaction_layer.ipc_vis_road_data_msg.road_info.roadMarkerInfo.hostRightIndividualMarker.laneMarkerConf.confDIMON,1
0xFEBE5605,ipc_interaction_layer.ipc_vis_road_data_msg.road_info.roadMarkerInfo.hostRightIndividualMarker.laneMarkerConf.confLKA,confLKA
0xFEBE5606,ipc_interaction_layer.ipc_vis_road_data_msg.road_info.roadMarkerInfo.hostRightIndividualMarker.laneMarkerConf.confTjaPrimary,1
